,Artist,Total Views,100M,Avg
130,Jass Manak,"5,887.3",15.0,1.51
131,Inna,"5,866.9",15.0,1.42
132,Cartel de Santa,"5,816.6",18.0,2.08
133,Patati Patatá,"5,791.6",13.0,2.34
134,Maiara & Maraisa,"5,785.9",12.0,1.96
135,Red Hot Chili Peppers,"5,764.1",12.0,1.59
136,Calibre 50,"5,736.5",15.0,2.26
137,Haschak Sisters,"5,670.8",16.0,0.5
138,Bon Jovi,"5,623.1",9.0,1.46
139,Myke Towers,"5,616.2",11.0,2.45
140,Mark Ronson,"5,591.5",3.0,1.22
141,Pentatonix,"5,583.6",13.0,0.55
142,Wisin,"5,578.5",12.0,0.96
143,Camila Cabello,"5,571.8",12.0,0.86
144,Nio García,"5,471.4",8.0,0.92
145,Avril Lavigne,"5,456.0",16.0,1.04
146,Metallica,"5,430.2",7.0,1.59
147,Juan Gabriel,"5,426.8",11.0,1.51
148,Lana Del Rey,"5,409.7",12.0,1.72
149,Hariharan,"5,345.6",8.0,4.08
150,Yasmin Verissimo,"5,341.8",15.0,2.46
151,Manuel Turizo,"5,332.8",10.0,2.93
152,Ricardo Arjona,"5,268.8",8.0,1.77
153,Kodak Black,"5,246.1",13.0,1.73
154,Lil Nas X,"5,200.8",10.0,1.32
155,MC Kevinho,"5,188.9",12.0,0.25
156,Marc Anthony,"5,173.6",13.0,1.5
157,Luan Santana,"5,164.4",14.0,1.81
158,Wisin & Yandel,"5,158.6",14.0,1.87
159,Sean Paul,"5,116.4",11.0,1.48
160,G-Eazy,"5,114.2",8.0,0.92
161,Akon,"5,107.6",9.0,1.82
162,Camilo,"5,094.4",14.0,1.38
163,Jessie J,"5,083.8",9.0,0.66
164,Madonna,"5,062.4",11.0,1.76
165,Lil Wayne,"5,050.1",8.0,1.14
166,Mohamed Ramadan,"5,007.8",8.0,0.84
167,Carlos Vives,"4,959.3",6.0,1.12
168,Tyga,"4,941.1",7.0,1.0
169,Whitney Houston,"4,918.7",10.0,1.89
170,Kygo,"4,910.1",11.0,1.0
171,Hillsong Worship,"4,831.7",10.0,2.16
172,Macklemore & Ryan Lewis,"4,823.8",8.0,0.62
173,Girls' Generation,"4,708.2",10.0,0.72
174,Aventura,"4,707.8",16.0,2.14
175,Jul,"4,703.4",4.0,1.75
176,Khalid,"4,662.6",10.0,0.88
177,LMFAO,"4,657.4",5.0,0.55
178,Jesse & Joy,"4,655.9",10.0,1.04
179,Plan B,"4,624.1",13.0,1.25
180,Maná,"4,607.0",14.0,1.43
181,Flo Rida,"4,604.6",10.0,0.83
182,Machine Gun Kelly,"4,552.1",10.0,1.21
183,Grupo Firme,"4,523.1",14.0,3.74
184,ZAYN,"4,503.5",5.0,0.86
185,Simone & Simaria,"4,482.7",9.0,0.86
186,Sech,"4,477.6",11.0,1.1
187,Doja Cat,"4,476.9",15.0,2.26
188,Rahat Fateh Ali Khan,"4,475.0",10.0,1.74
189,Adexe & Nau,"4,462.8",8.0,0.42
190,Usher,"4,458.7",13.0,1.21
191,Nirvana,"4,453.9",7.0,1.38
192,Lil Pump,"4,440.7",11.0,0.31
193,Jubin Nautiyal,"4,428.7",6.0,1.27
194,Saad Lamjarred,"4,331.2",10.0,0.97
195,Kanye West,"4,329.4",15.0,1.0
196,Pablo Alborán,"4,326.3",11.0,1.04
197,Silvestre Dangond,"4,290.6",7.0,0.95
198,Rosalía,"4,287.7",6.0,2.25
199,Kenshi Yonezu,"4,252.9",12.0,1.49
200,Stray Kids,"4,250.8",8.0,3.8
201,El Chombo,"4,197.4",1.0,1.39
202,Rammstein,"4,193.3",12.0,1.71
203,Illslick,"4,188.8",9.0,1.27
204,Backstreet Boys,"4,175.1",9.0,1.48
205,Meet Bros,"4,173.8",12.0,1.08
206,Elissa,"4,124.0",6.0,1.86
207,Kevin Roldan,"4,076.2",11.0,1.03
208,Pop Smoke,"4,065.6",8.0,1.66
209,Gorillaz,"4,064.4",10.0,1.14
210,Harry Styles,"4,049.7",9.0,2.26
211,Passenger,"4,033.4",1.0,0.62
212,Morat,"4,011.3",8.0,2.38
213,Dhanush,"4,002.0",5.0,1.68
214,Hussain Al Jassmi,"3,984.0",7.0,1.3
215,Zion & Lennox,"3,964.3",7.0,1.17
216,Rae Sremmurd,"3,933.3",9.0,0.36
217,Hungria Hip Hop,"3,866.4",13.0,1.54
218,Halsey,"3,864.1",8.0,0.91
219,NCT,"3,809.6",9.0,1.17
220,Monkan Kankoon,"3,792.6",10.0,1.79
221,Atif Aslam,"3,782.2",9.0,1.01
222,Panic! at the Disco,"3,777.9",6.0,0.48
223,Céline Dion,"3,749.3",10.0,1.56
224,21 Savage,"3,741.6",8.0,1.1
225,El Alfa,"3,740.9",7.0,1.62
226,Kendrick Lamar,"3,728.1",12.0,0.85
227,Iggy Azalea,"3,726.6",9.0,0.34
228,Alejandro Fernández,"3,719.5",6.0,1.12
229,TINI,"3,715.3",13.0,2.17
230,J.Fla,"3,701.8",6.0,0.35
231,La Adictiva Banda San José de Mesillas,"3,687.4",7.0,1.28
232,System of a Down,"3,680.4",8.0,1.07
233,Bryan Adams,"3,668.6",10.0,1.29
234,Slipknot,"3,656.3",10.0,1.06
235,Kurt Hugo Schneider,"3,635.2",4.0,0.22
236,Lil Uzi Vert,"3,634.5",8.0,1.27
237,Nour Al Zain,"3,625.1",8.0,0.59
238,Melendi,"3,609.1",4.0,1.15
239,Mon Laferte,"3,606.4",8.0,1.4
240,DaBaby,"3,592.0",7.0,0.76
241,Nickelback,"3,578.9",11.0,0.76
242,Carlos Rivera,"3,571.3",11.0,1.22
243,Nelly,"3,570.3",7.0,1.16
244,Chayanne,"3,555.5",11.0,0.88
245,Yandel,"3,544.3",7.0,1.45
246,Christina Aguilera,"3,523.3",10.0,0.77
247,Dalex,"3,521.8",8.0,1.14
248,Lil Durk,"3,520.8",3.0,1.98
249,Lindsey Stirling,"3,509.3",8.0,0.57
250,Cali y El Dandee,"3,504.6",7.0,0.72
251,Ariel Camacho y Los Plebes Del Rancho,"3,502.8",8.0,0.58
